SN,BIN,Shape,FAI156,FAI156-P1,FAI156-P2,FAI156-P3,FAI156-P4,FAI156-P5,FAI156-P6,FAI156-P7,FAI156-P8,FAI156-P9,FAI156-P10,FAI156-P11,FAI156-P12,FAI156-P13,FAI156-P14,FAI156-P15,FAI156-P16,FAI156-P17,FAI156-P18,FAI156-P19,FAI156-P20
854,,,0.221,0.041,0.033,0.008,-0.02,-0.013,0.01,-0.016,0.009,0.082,0.048,-0.019,-0.083,-0.051,-0.083,-0.081,-0.076,-0.017,0.014,0.077,0.138
855,,,0.279,-0.056,-0.048,-0.033,0.007,-0.039,-0.097,-0.033,0.01,0.044,0.182,0.152,0.14,0.042,-0.001,-0.054,-0.059,-0.031,-0.027,-0.04,-0.061
856,,,0.221,0.008,0.015,0.009,-0.016,0.022,0.084,0.02,0.017,0.038,-0.035,-0.08,-0.137,-0.036,-0.053,-0.027,-0.022,0.028,0.044,0.069,0.054
857,,,0.276,-0.029,-0.026,-0.021,0.013,-0.045,-0.119,-0.045,-0.003,0.026,0.157,0.141,0.149,0.045,0.006,-0.045,-0.054,-0.03,-0.028,-0.043,-0.049
858,,,0.264,-0.014,-0.016,-0.021,0,-0.048,-0.11,-0.051,-0.015,-0.009,0.125,0.133,0.154,0.087,0.052,-0.006,-0.04,-0.041,-0.055,-0.06,-0.064
859,,,0.105,0.002,-0.002,-0.016,-0.021,-0.032,-0.037,-0.029,-0.011,0.005,0.066,0.061,0.059,0.066,0.037,0.005,-0.032,-0.031,-0.039,-0.024,-0.025
860,,,0.289,-0.027,-0.023,-0.016,0.017,-0.044,-0.13,-0.05,-0.009,0.022,0.159,0.141,0.158,0.046,0.01,-0.043,-0.053,-0.033,-0.034,-0.044,-0.045
861,,,0.224,-0.025,-0.024,-0.02,0.003,-0.035,-0.08,-0.036,0.004,0.047,0.144,0.113,0.097,0.026,-0.011,-0.059,-0.068,-0.031,-0.024,-0.015,-0.006
862,,,0.124,-0.017,-0.014,-0.01,0.008,-0.016,-0.04,-0.007,0.017,0.023,0.074,0.051,0.04,0.001,-0.029,-0.05,-0.045,0.001,0.013,0.011,-0.012
863,,,0.258,-0.045,-0.04,-0.027,0.003,-0.038,-0.097,-0.032,0.014,0.052,0.161,0.132,0.13,0.033,-0.006,-0.054,-0.059,-0.029,-0.022,-0.034,-0.045
864,,,0.177,-0.016,-0.015,-0.013,0.001,-0.024,-0.059,-0.033,-0.001,0.041,0.118,0.083,0.061,0.017,-0.016,-0.049,-0.056,-0.021,-0.014,-0.003,-0.001
865,,,0.166,-0.002,-0.004,-0.008,-0.001,-0.019,-0.042,-0.021,0.01,0.064,0.094,0.051,0.019,-0.016,-0.051,-0.072,-0.065,-0.015,0.008,0.029,0.04
866,,,0.29,-0.039,-0.033,-0.023,0.017,-0.043,-0.125,-0.044,0,0.024,0.165,0.151,0.16,0.047,0.009,-0.052,-0.053,-0.021,-0.025,-0.043,-0.071
867,,,0.164,-0.008,-0.005,-0.003,0.014,-0.008,-0.035,-0.011,0.017,0.056,0.086,0.026,-0.002,-0.036,-0.069,-0.078,-0.055,0.006,0.03,0.042,0.032
868,,,0.215,-0.026,-0.025,-0.021,0.003,-0.034,-0.079,-0.029,0.011,0.052,0.136,0.101,0.089,0.019,-0.02,-0.061,-0.058,-0.019,-0.009,-0.009,-0.024
869,,,0.151,0.015,0.019,0.012,-0.002,0.007,0.028,-0.003,0.003,0.041,0.021,-0.024,-0.077,-0.041,-0.071,-0.066,-0.052,0.009,0.036,0.071,0.074
870,,,0.12,-0.016,-0.01,-0.008,0.01,-0.016,-0.043,-0.007,0.015,0.017,0.07,0.049,0.042,0.001,-0.027,-0.05,-0.041,0.004,0.016,0.01,-0.017
871,,,0.241,-0.03,-0.032,-0.038,-0.012,-0.05,-0.092,-0.033,0.006,0.025,0.149,0.137,0.142,0.075,0.037,-0.024,-0.058,-0.051,-0.056,-0.051,-0.043
872,,,0.262,-0.035,-0.035,-0.024,0.009,-0.037,-0.098,-0.032,0.01,0.054,0.164,0.129,0.114,0.023,-0.022,-0.066,-0.067,-0.025,-0.018,-0.021,-0.024
873,,,0.151,0.012,0.014,0.004,-0.002,0.001,0.014,0.011,0.024,0.043,0.02,-0.021,-0.059,-0.044,-0.073,-0.073,-0.057,0.005,0.034,0.067,0.078
874,,,0.169,-0.028,-0.022,-0.008,0.021,-0.017,-0.078,-0.025,0.003,-0.004,0.085,0.078,0.091,0.037,0.012,-0.024,-0.028,0,-0.003,-0.029,-0.062
875,,,0.138,0.011,0.018,0.005,-0.011,0.01,0.05,0.007,0.001,0.011,-0.026,-0.039,-0.065,0.006,-0.021,-0.02,-0.043,-0.016,0.001,0.048,0.073
876,,,0.143,-0.024,-0.017,-0.01,0.011,-0.02,-0.054,-0.011,0.015,0.018,0.089,0.066,0.058,0.008,-0.023,-0.045,-0.04,0,0.01,0,-0.03
877,,,0.146,0.021,0.023,0.009,-0.012,0.004,0.032,-0.006,0,0.046,0.012,-0.032,-0.081,-0.031,-0.06,-0.055,-0.045,0.015,0.038,0.065,0.056
878,,,0.161,0.029,0.025,0.006,-0.017,-0.01,0.006,-0.021,-0.001,0.064,0.052,-0.004,-0.06,-0.03,-0.065,-0.068,-0.064,-0.012,0.016,0.061,0.093
879,,,0.137,0.035,0.025,0.001,-0.032,-0.019,0.011,-0.014,0.002,0.043,0.029,-0.007,-0.051,0.004,-0.027,-0.029,-0.053,-0.031,-0.012,0.041,0.084
880,,,0.249,-0.022,-0.024,-0.015,0.016,-0.034,-0.107,-0.044,-0.005,0.03,0.142,0.123,0.126,0.035,-0.005,-0.053,-0.06,-0.028,-0.025,-0.029,-0.021
881,,,0.121,-0.014,-0.01,-0.01,0.009,-0.018,-0.045,-0.009,0.015,0.023,0.075,0.049,0.038,-0.001,-0.027,-0.046,-0.04,0.005,0.015,0.008,-0.017
882,,,0.279,-0.029,-0.033,-0.024,0.008,-0.046,-0.115,-0.047,-0.003,0.038,0.164,0.146,0.149,0.046,0.006,-0.049,-0.06,-0.033,-0.034,-0.04,-0.045
883,,,0.104,-0.007,-0.006,-0.013,-0.004,-0.013,-0.018,-0.015,-0.007,-0.006,0.054,0.047,0.043,0.049,0.019,-0.018,-0.05,-0.036,-0.028,-0.007,0.016
884,,,0.152,-0.012,-0.012,-0.018,-0.009,-0.034,-0.059,-0.023,0.003,0.022,0.093,0.083,0.081,0.049,0.012,-0.028,-0.054,-0.041,-0.036,-0.018,0.001
885,,,0.212,-0.01,-0.012,-0.018,-0.006,-0.034,-0.073,-0.033,0.006,0.056,0.139,0.096,0.066,0.011,-0.027,-0.064,-0.067,-0.026,-0.016,-0.005,0.017
886,,,0.214,-0.013,-0.017,-0.023,-0.005,-0.039,-0.074,-0.032,0.01,0.058,0.14,0.105,0.082,0.015,-0.028,-0.071,-0.072,-0.027,-0.011,-0.002,0.003
887,,,0.147,-0.02,-0.019,-0.022,0.004,-0.022,-0.049,-0.023,-0.009,-0.019,0.078,0.084,0.098,0.071,0.04,-0.011,-0.046,-0.039,-0.04,-0.035,-0.023
888,,,0.133,0.014,0.015,0.002,-0.01,-0.003,0.019,0.009,0.024,0.047,0.021,-0.022,-0.066,-0.04,-0.068,-0.065,-0.051,0.01,0.036,0.063,0.065
889,,,0.227,0.024,0.01,-0.018,-0.037,-0.054,-0.072,-0.082,-0.044,0.064,0.145,0.104,0.062,0.071,0.028,-0.01,-0.052,-0.049,-0.051,-0.028,-0.011
890,,,0.279,-0.035,-0.034,-0.031,-0.007,-0.051,-0.101,-0.045,-0.015,-0.01,0.141,0.147,0.167,0.107,0.066,0.008,-0.028,-0.038,-0.052,-0.077,-0.112
891,,,0.113,-0.014,-0.008,-0.006,0.008,-0.011,-0.03,-0.003,0.019,0.025,0.06,0.035,0.023,-0.008,-0.037,-0.053,-0.047,0.004,0.019,0.02,0.005
892,,,0.224,0.028,0.028,0.01,-0.017,0.01,0.059,0.015,0.006,0.024,-0.026,-0.057,-0.1,-0.017,-0.042,-0.04,-0.058,-0.02,0.005,0.07,0.124
893,,,0.22,-0.028,-0.023,-0.018,0.008,-0.036,-0.083,-0.041,-0.003,0.031,0.137,0.115,0.111,0.036,0,-0.045,-0.054,-0.025,-0.025,-0.027,-0.031
894,,,0.224,-0.02,-0.022,-0.017,0.004,-0.034,-0.087,-0.041,-0.002,0.041,0.137,0.108,0.102,0.03,-0.005,-0.047,-0.057,-0.024,-0.025,-0.022,-0.02
895,,,0.185,-0.012,-0.016,-0.023,-0.012,-0.041,-0.075,-0.028,0.004,0.022,0.11,0.096,0.099,0.06,0.023,-0.019,-0.049,-0.043,-0.044,-0.034,-0.017
896,,,0.222,0.022,0.011,-0.014,-0.033,-0.051,-0.076,-0.091,-0.062,0.037,0.131,0.105,0.078,0.098,0.061,0.018,-0.033,-0.042,-0.055,-0.048,-0.054
897,,,0.144,-0.018,-0.016,-0.018,0.002,-0.023,-0.05,-0.024,-0.01,-0.016,0.079,0.083,0.094,0.067,0.038,-0.009,-0.045,-0.038,-0.04,-0.032,-0.022
898,,,0.231,-0.037,-0.033,-0.028,-0.005,-0.033,-0.064,-0.025,0.016,0.06,0.156,0.116,0.089,0.024,-0.018,-0.062,-0.075,-0.046,-0.038,-0.015,0.019
899,,,0.11,-0.015,-0.012,-0.015,-0.002,-0.009,-0.012,-0.006,0.002,0.001,0.052,0.043,0.04,0.042,0.012,-0.027,-0.058,-0.036,-0.025,0,0.025
900,,,0.257,-0.025,-0.024,-0.02,0.013,-0.039,-0.107,-0.042,-0.001,0.03,0.15,0.128,0.132,0.037,-0.003,-0.058,-0.059,-0.022,-0.019,-0.03,-0.04
901,,,0.197,-0.019,-0.017,-0.018,-0.003,-0.031,-0.064,-0.032,0.001,0.048,0.131,0.097,0.076,0.021,-0.017,-0.055,-0.066,-0.034,-0.032,-0.01,0.02
902,,,0.106,0.008,0.011,0.005,-0.009,-0.001,0.017,0.003,0.014,0.04,0.015,-0.022,-0.06,-0.025,-0.047,-0.036,-0.033,0.016,0.032,0.046,0.028
903,,,0.216,-0.026,-0.024,-0.025,0.003,-0.033,-0.077,-0.029,0.005,0.043,0.139,0.11,0.095,0.026,-0.015,-0.061,-0.058,-0.02,-0.011,-0.015,-0.027
904,,,0.188,-0.026,-0.025,-0.029,-0.013,-0.035,-0.054,-0.019,0.013,0.033,0.121,0.1,0.089,0.051,0.009,-0.038,-0.067,-0.051,-0.043,-0.023,0.008
905,,,0.118,0.011,0.005,-0.011,-0.019,-0.031,-0.037,-0.024,0.001,0.031,0.069,0.046,0.03,0.034,0.003,-0.021,-0.049,-0.036,-0.031,0,0.03
906,,,0.246,-0.036,-0.033,-0.023,0.005,-0.034,-0.091,-0.038,0.004,0.045,0.155,0.126,0.119,0.033,-0.009,-0.057,-0.058,-0.023,-0.023,-0.027,-0.037
907,,,0.27,-0.029,-0.032,-0.023,0.006,-0.043,-0.106,-0.044,0,0.04,0.164,0.139,0.135,0.042,0.002,-0.053,-0.063,-0.04,-0.042,-0.035,-0.02
908,,,0.239,-0.03,-0.033,-0.029,-0.005,-0.041,-0.08,-0.033,0.011,0.06,0.159,0.123,0.103,0.028,-0.016,-0.064,-0.065,-0.024,-0.018,-0.019,-0.03
909,,,0.178,0.007,0.002,-0.009,-0.008,-0.028,-0.05,-0.035,0.001,0.062,0.11,0.066,0.028,-0.003,-0.04,-0.066,-0.068,-0.027,-0.011,0.02,0.05
910,,,0.112,-0.022,-0.013,-0.004,0.011,-0.015,-0.05,-0.015,0.005,0.003,0.062,0.051,0.054,0.027,0.003,-0.023,-0.027,0.007,0.005,-0.011,-0.048
911,,,0.225,-0.02,-0.02,-0.02,-0.006,-0.033,-0.063,-0.03,0.01,0.066,0.146,0.099,0.067,0.013,-0.027,-0.068,-0.079,-0.041,-0.03,-0.003,0.04
912,,,0.226,0.013,0.003,-0.018,-0.031,-0.052,-0.076,-0.082,-0.046,0.056,0.144,0.111,0.079,0.084,0.04,-0.005,-0.051,-0.053,-0.057,-0.037,-0.022
913,,,0.215,-0.049,-0.043,-0.035,-0.004,-0.038,-0.076,-0.02,0.015,0.028,0.139,0.124,0.129,0.071,0.029,-0.026,-0.058,-0.048,-0.051,-0.047,-0.039
914,,,0.168,0.002,0.001,-0.007,-0.006,-0.019,-0.029,-0.019,0.008,0.06,0.094,0.047,0.007,-0.014,-0.049,-0.071,-0.074,-0.031,-0.012,0.032,0.08
915,,,0.239,-0.027,-0.027,-0.034,-0.009,-0.048,-0.095,-0.039,0,0.013,0.137,0.133,0.144,0.083,0.044,-0.011,-0.046,-0.05,-0.056,-0.057,-0.056
916,,,0.229,0.041,0.036,0.008,-0.027,-0.001,0.048,0.002,0.006,0.043,-0.01,-0.047,-0.1,-0.025,-0.054,-0.044,-0.059,-0.023,0.005,0.073,0.129
917,,,0.212,-0.02,-0.018,-0.014,0.007,-0.028,-0.079,-0.037,0.001,0.041,0.133,0.101,0.09,0.018,-0.021,-0.06,-0.062,-0.024,-0.017,-0.009,-0.002
918,,,0.123,-0.027,-0.017,-0.008,0.018,-0.012,-0.052,-0.011,0.01,0.007,0.071,0.056,0.055,0.019,-0.007,-0.033,-0.035,0.001,0.005,-0.007,-0.032
919,,,0.215,-0.02,-0.023,-0.027,-0.008,-0.044,-0.085,-0.037,-0.001,0.02,0.13,0.118,0.12,0.065,0.029,-0.018,-0.051,-0.048,-0.049,-0.042,-0.032
920,,,0.248,-0.034,-0.029,-0.024,0.009,-0.038,-0.097,-0.036,0.002,0.04,0.151,0.127,0.124,0.036,-0.004,-0.056,-0.055,-0.022,-0.016,-0.031,-0.047
921,,,0.261,-0.021,-0.024,-0.02,0.013,-0.04,-0.11,-0.046,-0.007,0.031,0.151,0.13,0.135,0.037,-0.001,-0.049,-0.055,-0.03,-0.026,-0.03,-0.037
922,,,0.147,0.026,0.025,0.005,-0.034,0.001,0.063,-0.003,-0.01,0.012,-0.022,-0.045,-0.084,0.018,-0.006,0.003,-0.025,-0.006,-0.003,0.036,0.049
923,,,0.247,-0.024,-0.027,-0.028,-0.005,-0.048,-0.1,-0.037,-0.002,0.012,0.13,0.13,0.147,0.08,0.041,-0.011,-0.047,-0.049,-0.055,-0.058,-0.049
924,,,0.278,-0.036,-0.031,-0.024,0.016,-0.043,-0.119,-0.043,0.004,0.028,0.159,0.139,0.155,0.044,0.004,-0.051,-0.055,-0.023,-0.023,-0.041,-0.06
925,,,0.267,-0.034,-0.032,-0.024,0.013,-0.035,-0.103,-0.044,-0.003,0.026,0.164,0.14,0.138,0.041,0.004,-0.049,-0.06,-0.037,-0.038,-0.038,-0.029
926,,,0.149,0.007,0.004,-0.005,-0.011,-0.02,-0.03,-0.027,0.003,0.063,0.086,0.04,0,-0.01,-0.046,-0.063,-0.057,-0.006,0.012,0.032,0.028
927,,,0.133,0.018,0.011,-0.011,-0.022,-0.024,-0.016,-0.013,0.011,0.042,0.055,0.024,-0.002,0.014,-0.02,-0.043,-0.064,-0.037,-0.017,0.025,0.069
928,,,0.252,-0.034,-0.031,-0.023,0.01,-0.04,-0.099,-0.034,0.008,0.044,0.153,0.128,0.122,0.03,-0.013,-0.058,-0.061,-0.021,-0.016,-0.027,-0.038
929,,,0.112,-0.013,-0.006,-0.004,0.009,-0.008,-0.024,0.001,0.02,0.028,0.053,0.028,0.013,-0.014,-0.044,-0.059,-0.05,-0.001,0.018,0.028,0.023
930,,,0.178,-0.025,-0.022,-0.017,0.009,-0.025,-0.063,-0.025,-0.014,-0.027,0.083,0.097,0.115,0.078,0.046,-0.004,-0.042,-0.039,-0.046,-0.043,-0.037
931,,,0.109,-0.009,-0.007,-0.012,-0.004,-0.01,-0.01,-0.006,0.001,0.005,0.052,0.039,0.028,0.035,0.003,-0.029,-0.057,-0.04,-0.027,0.006,0.041
932,,,0.181,-0.012,-0.01,-0.01,0.004,-0.03,-0.07,-0.038,-0.007,0.03,0.111,0.087,0.077,0.022,-0.011,-0.043,-0.045,-0.006,-0.002,-0.01,-0.037
933,,,0.213,-0.018,-0.022,-0.027,-0.008,-0.044,-0.087,-0.036,-0.002,0.013,0.126,0.114,0.122,0.071,0.036,-0.012,-0.048,-0.043,-0.046,-0.047,-0.043
934,,,0.113,-0.007,-0.005,-0.013,-0.009,-0.011,-0.005,-0.007,0.002,0.009,0.053,0.037,0.019,0.035,0.003,-0.032,-0.06,-0.038,-0.025,0.011,0.042
935,,,0.122,-0.024,-0.016,-0.01,0.016,-0.013,-0.05,-0.006,0.015,0.014,0.072,0.058,0.057,0.008,-0.023,-0.05,-0.043,-0.002,0.009,0.004,-0.016
936,,,0.115,-0.016,-0.009,-0.007,0.01,-0.012,-0.036,-0.005,0.016,0.021,0.064,0.041,0.031,-0.002,-0.031,-0.051,-0.042,0.005,0.014,0.014,-0.006
937,,,0.175,0.021,0.018,0.004,-0.011,-0.011,-0.001,-0.011,0.013,0.075,0.061,0,-0.056,-0.048,-0.081,-0.084,-0.069,-0.005,0.028,0.068,0.091
938,,,0.21,-0.013,-0.016,-0.018,-0.004,-0.04,-0.088,-0.04,-0.007,0.006,0.11,0.109,0.122,0.07,0.034,-0.016,-0.048,-0.045,-0.047,-0.04,-0.03
939,,,0.289,-0.037,-0.034,-0.029,0.009,-0.041,-0.112,-0.039,0.007,0.046,0.177,0.148,0.145,0.036,-0.006,-0.062,-0.071,-0.045,-0.046,-0.035,-0.009
940,,,0.184,-0.01,-0.011,-0.01,0.007,-0.018,-0.053,-0.023,0.011,0.057,0.108,0.066,0.044,-0.01,-0.046,-0.076,-0.074,-0.025,-0.004,0.021,0.048
941,,,0.171,-0.032,-0.03,-0.027,0.001,-0.026,-0.055,-0.019,-0.007,-0.015,0.097,0.1,0.116,0.079,0.047,-0.008,-0.047,-0.04,-0.048,-0.046,-0.039
942,,,0.263,-0.04,-0.037,-0.029,0.002,-0.04,-0.093,-0.034,0.011,0.054,0.17,0.136,0.118,0.033,-0.009,-0.059,-0.063,-0.029,-0.028,-0.027,-0.034
943,,,0.202,-0.015,-0.016,-0.014,0.014,-0.025,-0.077,-0.035,-0.02,-0.032,0.078,0.096,0.125,0.079,0.05,-0.002,-0.038,-0.034,-0.04,-0.045,-0.048
944,,,0.28,-0.04,-0.036,-0.024,0.012,-0.04,-0.118,-0.039,0.003,0.035,0.162,0.145,0.153,0.038,0.003,-0.056,-0.051,-0.019,-0.019,-0.043,-0.066
945,,,0.102,-0.011,-0.011,-0.015,-0.004,-0.013,-0.018,-0.01,-0.002,-0.005,0.05,0.044,0.046,0.052,0.023,-0.016,-0.05,-0.035,-0.027,-0.008,0.01
946,,,0.128,-0.021,-0.018,-0.017,0,-0.019,-0.034,-0.016,-0.004,-0.008,0.077,0.073,0.072,0.059,0.023,-0.016,-0.051,-0.043,-0.039,-0.019,0.001
947,,,0.202,-0.016,-0.022,-0.027,-0.014,-0.044,-0.076,-0.031,0.005,0.025,0.126,0.112,0.107,0.062,0.023,-0.023,-0.055,-0.047,-0.047,-0.037,-0.021
948,,,0.201,-0.018,-0.021,-0.026,-0.011,-0.042,-0.078,-0.032,0.003,0.022,0.123,0.111,0.108,0.064,0.025,-0.02,-0.054,-0.049,-0.049,-0.037,-0.021
949,,,0.258,-0.034,-0.038,-0.036,-0.01,-0.052,-0.101,-0.038,-0.001,0.017,0.15,0.146,0.157,0.09,0.052,-0.009,-0.046,-0.053,-0.065,-0.065,-0.066
950,,,0.265,-0.031,-0.036,-0.028,0.001,-0.048,-0.107,-0.035,0.001,0.005,0.132,0.138,0.158,0.085,0.049,-0.006,-0.045,-0.048,-0.06,-0.065,-0.06
951,,,0.234,0.05,0.038,0.009,-0.026,-0.012,0.023,-0.004,0.011,0.054,0.008,-0.034,-0.084,-0.028,-0.062,-0.06,-0.073,-0.034,-0.001,0.075,0.15
952,,,0.144,-0.027,-0.022,-0.018,0.005,-0.015,-0.036,-0.007,0.002,-0.009,0.074,0.074,0.08,0.055,0.021,-0.031,-0.064,-0.047,-0.035,-0.016,0.015
953,,,0.221,-0.027,-0.029,-0.022,0.004,-0.03,-0.078,-0.028,0.013,0.052,0.143,0.108,0.092,0.013,-0.027,-0.07,-0.067,-0.02,-0.006,-0.008,-0.014
954,,,0.163,-0.017,-0.017,-0.017,0.003,-0.024,-0.058,-0.028,-0.013,-0.022,0.079,0.087,0.105,0.077,0.044,-0.008,-0.042,-0.038,-0.041,-0.037,-0.034
955,,,0.176,-0.025,-0.019,-0.013,0.022,-0.023,-0.08,-0.022,0.007,0.008,0.088,0.08,0.096,0.025,-0.003,-0.038,-0.035,0.001,0.003,-0.017,-0.057
956,,,0.266,-0.035,-0.031,-0.025,0.015,-0.039,-0.106,-0.039,0.001,0.038,0.16,0.134,0.135,0.033,-0.007,-0.056,-0.057,-0.023,-0.018,-0.032,-0.049
957,,,0.224,-0.022,-0.022,-0.025,-0.003,-0.043,-0.093,-0.038,-0.004,0.01,0.12,0.119,0.131,0.077,0.04,-0.01,-0.047,-0.048,-0.053,-0.049,-0.041
958,,,0.164,-0.005,-0.009,-0.018,-0.013,-0.036,-0.058,-0.028,0.003,0.032,0.106,0.083,0.066,0.041,0.002,-0.033,-0.058,-0.044,-0.034,-0.011,0.013
959,,,0.167,-0.003,-0.008,-0.02,-0.019,-0.041,-0.06,-0.032,0,0.032,0.107,0.087,0.072,0.051,0.013,-0.023,-0.053,-0.043,-0.039,-0.019,-0.001
960,,,0.219,-0.023,-0.02,-0.018,0.009,-0.031,-0.081,-0.037,-0.023,-0.036,0.089,0.108,0.138,0.095,0.068,0.01,-0.029,-0.034,-0.049,-0.063,-0.071
961,,,0.173,-0.018,-0.018,-0.017,0.006,-0.024,-0.062,-0.03,-0.016,-0.023,0.08,0.091,0.111,0.076,0.044,-0.002,-0.041,-0.039,-0.042,-0.041,-0.036
962,,,0.109,-0.007,-0.006,-0.014,-0.008,-0.013,-0.012,-0.011,-0.004,0,0.054,0.044,0.034,0.045,0.014,-0.021,-0.055,-0.039,-0.03,-0.001,0.028
963,,,0.273,0.019,0.026,0.016,-0.003,0.021,0.064,0.022,0.015,0.028,-0.033,-0.063,-0.105,-0.038,-0.067,-0.064,-0.076,-0.031,0.01,0.089,0.168
964,,,0.292,-0.045,-0.04,-0.027,0.012,-0.045,-0.121,-0.039,0.003,0.035,0.171,0.151,0.163,0.049,0.008,-0.051,-0.053,-0.02,-0.02,-0.047,-0.083
965,,,0.189,-0.009,-0.011,-0.019,-0.009,-0.042,-0.079,-0.038,-0.004,0.016,0.11,0.103,0.105,0.06,0.023,-0.018,-0.047,-0.043,-0.042,-0.032,-0.023
966,,,0.181,-0.012,-0.014,-0.021,-0.009,-0.04,-0.073,-0.035,-0.003,0.017,0.108,0.1,0.101,0.064,0.027,-0.018,-0.049,-0.044,-0.045,-0.033,-0.021
967,,,0.13,-0.017,-0.016,-0.018,0.003,-0.013,-0.029,-0.011,-0.002,-0.005,0.068,0.062,0.064,0.052,0.018,-0.028,-0.062,-0.043,-0.031,-0.01,0.018
968,,,0.243,-0.025,-0.024,-0.019,0.005,-0.037,-0.094,-0.042,0.002,0.042,0.149,0.119,0.116,0.03,-0.009,-0.051,-0.06,-0.032,-0.03,-0.027,-0.014
969,,,0.216,-0.019,-0.024,-0.03,-0.009,-0.047,-0.088,-0.033,0.003,0.014,0.128,0.12,0.128,0.071,0.035,-0.016,-0.053,-0.046,-0.049,-0.049,-0.037
970,,,0.234,-0.03,-0.03,-0.033,-0.01,-0.047,-0.09,-0.032,0.002,0.02,0.133,0.13,0.144,0.078,0.041,-0.018,-0.054,-0.054,-0.058,-0.051,-0.041
971,,,0.138,-0.031,-0.026,-0.021,0,-0.021,-0.043,-0.018,-0.004,-0.006,0.087,0.084,0.089,0.071,0.037,-0.012,-0.049,-0.041,-0.039,-0.032,-0.025
972,,,0.187,-0.012,-0.015,-0.025,-0.011,-0.039,-0.069,-0.029,0.003,0.028,0.118,0.099,0.091,0.053,0.012,-0.03,-0.058,-0.049,-0.041,-0.023,-0.002
973,,,0.221,-0.025,-0.025,-0.027,-0.009,-0.045,-0.087,-0.036,0,0.019,0.134,0.123,0.127,0.072,0.033,-0.016,-0.051,-0.048,-0.052,-0.047,-0.039
974,,,0.219,0.023,0.022,0.004,-0.017,0.007,0.051,0.01,0.008,0.028,-0.002,-0.037,-0.082,-0.012,-0.043,-0.05,-0.072,-0.036,-0.003,0.065,0.137
975,,,0.184,-0.017,-0.019,-0.024,-0.01,-0.041,-0.072,-0.032,-0.004,0.009,0.103,0.101,0.112,0.075,0.04,-0.001,-0.04,-0.042,-0.05,-0.046,-0.04
976,,,0.214,0.03,0.026,0.007,-0.014,-0.006,0.012,-0.01,0.012,0.076,0.045,-0.018,-0.078,-0.051,-0.083,-0.08,-0.073,-0.016,0.017,0.074,0.131
977,,,0.165,0.022,0.022,0.004,-0.019,0.004,0.051,0.005,0.003,0.023,-0.022,-0.042,-0.073,0.003,-0.025,-0.027,-0.047,-0.022,-0.003,0.052,0.092
978,,,0.24,-0.052,-0.044,-0.031,0.009,-0.032,-0.079,-0.025,-0.004,-0.023,0.122,0.136,0.161,0.095,0.061,-0.007,-0.048,-0.047,-0.053,-0.066,-0.072
979,,,0.285,0.001,-0.008,-0.023,-0.021,-0.06,-0.112,-0.089,-0.048,0.044,0.173,0.148,0.131,0.099,0.055,-0.004,-0.048,-0.055,-0.065,-0.059,-0.059
980,,,0.202,-0.012,-0.017,-0.022,-0.008,-0.044,-0.082,-0.037,-0.004,0.018,0.12,0.106,0.112,0.064,0.026,-0.019,-0.051,-0.044,-0.043,-0.036,-0.028
981,,,0.148,0,-0.003,-0.015,-0.018,-0.03,-0.035,-0.018,0.009,0.042,0.088,0.057,0.03,0.026,-0.01,-0.034,-0.06,-0.043,-0.032,0.005,0.043
982,,,0.254,-0.028,-0.027,-0.025,0.007,-0.038,-0.096,-0.037,0.004,0.047,0.158,0.124,0.114,0.026,-0.011,-0.056,-0.063,-0.031,-0.026,-0.023,-0.02
983,,,0.242,-0.037,-0.038,-0.032,-0.003,-0.044,-0.093,-0.033,0.002,0.011,0.144,0.137,0.149,0.08,0.04,-0.014,-0.049,-0.048,-0.052,-0.06,-0.059
984,,,0.112,-0.013,-0.011,-0.015,-0.004,-0.018,-0.031,-0.017,-0.007,-0.008,0.06,0.061,0.066,0.059,0.027,-0.013,-0.046,-0.036,-0.033,-0.017,-0.005
985,,,0.159,-0.007,-0.01,-0.015,-0.01,-0.031,-0.053,-0.022,0.008,0.033,0.099,0.075,0.061,0.033,-0.007,-0.037,-0.06,-0.042,-0.033,-0.005,0.025
986,,,0.147,-0.025,-0.02,-0.019,0.003,-0.021,-0.048,-0.019,-0.008,-0.014,0.084,0.087,0.096,0.068,0.034,-0.018,-0.051,-0.044,-0.041,-0.028,-0.015
987,,,0.276,-0.041,-0.041,-0.028,0.01,-0.04,-0.103,-0.036,0.011,0.045,0.173,0.142,0.136,0.031,-0.012,-0.061,-0.064,-0.025,-0.022,-0.03,-0.045
988,,,0.178,-0.013,-0.014,-0.022,-0.015,-0.038,-0.064,-0.03,0.003,0.029,0.114,0.095,0.085,0.053,0.014,-0.027,-0.058,-0.046,-0.041,-0.025,-0.001
989,,,0.249,-0.033,-0.033,-0.029,-0.007,-0.047,-0.098,-0.039,0,0.012,0.144,0.137,0.151,0.083,0.043,-0.011,-0.047,-0.049,-0.057,-0.06,-0.059
990,,,0.193,-0.002,-0.006,-0.019,-0.012,-0.038,-0.067,-0.033,0.009,0.064,0.126,0.084,0.056,0.012,-0.026,-0.057,-0.067,-0.033,-0.023,0,0.03
991,,,0.164,-0.01,-0.013,-0.021,-0.014,-0.038,-0.061,-0.029,0.001,0.026,0.103,0.088,0.082,0.056,0.019,-0.02,-0.052,-0.043,-0.042,-0.024,-0.007
