SN,BIN,Shape,FAI156,FAI156-P1,FAI156-P2,FAI156-P3,FAI156-P4,FAI156-P5,FAI156-P6,FAI156-P7,FAI156-P8,FAI156-P9,FAI156-P10,FAI156-P11,FAI156-P12,FAI156-P13,FAI156-P14,FAI156-P15,FAI156-P16,FAI156-P17,FAI156-P18,FAI156-P19,FAI156-P20
1579,,,0.117,-0.019,-0.011,-0.005,0.014,-0.009,-0.03,0,0.021,0.027,0.059,0.034,0.021,-0.011,-0.039,-0.058,-0.049,0.002,0.016,0.022,0.013
1580,,,0.253,-0.023,-0.025,-0.027,-0.004,-0.045,-0.091,-0.036,0.009,0.061,0.162,0.124,0.108,0.026,-0.013,-0.061,-0.07,-0.039,-0.035,-0.02,-0.001
1581,,,0.276,-0.037,-0.033,-0.028,0.002,-0.043,-0.103,-0.041,0.004,0.046,0.173,0.145,0.136,0.043,0.001,-0.052,-0.068,-0.042,-0.044,-0.038,-0.02
1582,,,0.225,-0.016,-0.019,-0.02,-0.008,-0.032,-0.062,-0.029,0.009,0.066,0.144,0.098,0.067,0.009,-0.031,-0.071,-0.081,-0.042,-0.028,0.004,0.042
1583,,,0.171,0.004,0.002,-0.005,-0.008,-0.021,-0.031,-0.024,0.007,0.065,0.099,0.049,0.001,-0.017,-0.053,-0.071,-0.072,-0.023,-0.003,0.034,0.066
1584,,,0.296,-0.053,-0.049,-0.039,-0.004,-0.046,-0.098,-0.034,0.017,0.068,0.198,0.16,0.138,0.045,-0.002,-0.062,-0.078,-0.051,-0.049,-0.041,-0.02
1585,,,0.244,-0.024,-0.025,-0.024,-0.002,-0.041,-0.088,-0.036,0.008,0.052,0.156,0.123,0.101,0.027,-0.014,-0.057,-0.065,-0.035,-0.029,-0.018,-0.01
1586,,,0.222,-0.027,-0.028,-0.027,-0.002,-0.035,-0.077,-0.031,0.01,0.056,0.145,0.111,0.094,0.021,-0.016,-0.06,-0.063,-0.02,-0.015,-0.015,-0.023
1587,,,0.217,-0.036,-0.027,-0.009,0.031,-0.021,-0.092,-0.032,-0.004,-0.015,0.091,0.094,0.122,0.049,0.021,-0.014,-0.021,0.005,-0.006,-0.041,-0.095
1588,,,0.286,-0.04,-0.037,-0.034,-0.004,-0.048,-0.101,-0.039,0.011,0.054,0.185,0.15,0.14,0.044,0,-0.056,-0.071,-0.046,-0.05,-0.041,-0.017
1589,,,0.132,0,-0.003,-0.016,-0.016,-0.024,-0.026,-0.018,0.002,0.022,0.075,0.054,0.035,0.035,0.001,-0.028,-0.057,-0.039,-0.03,0.002,0.03
1590,,,0.28,-0.044,-0.039,-0.031,0.013,-0.041,-0.108,-0.036,0.007,0.039,0.172,0.147,0.145,0.042,0,-0.051,-0.063,-0.037,-0.038,-0.038,-0.038
1591,,,0.241,-0.025,-0.024,-0.024,-0.003,-0.042,-0.086,-0.036,0.005,0.051,0.155,0.122,0.107,0.03,-0.008,-0.055,-0.068,-0.041,-0.039,-0.022,0.002
1592,,,0.206,-0.034,-0.033,-0.03,-0.007,-0.037,-0.075,-0.027,0.005,0.009,0.131,0.123,0.124,0.071,0.035,-0.017,-0.05,-0.049,-0.05,-0.047,-0.04
1593,,,0.129,-0.018,-0.013,-0.009,0.007,-0.017,-0.04,-0.006,0.017,0.025,0.075,0.05,0.041,0.001,-0.029,-0.054,-0.045,0,0.011,0.013,-0.01
1594,,,0.285,-0.047,-0.047,-0.032,0.005,-0.045,-0.103,-0.035,0.01,0.046,0.182,0.151,0.146,0.038,-0.001,-0.054,-0.063,-0.025,-0.022,-0.04,-0.065
1595,,,0.28,-0.032,-0.033,-0.025,0.013,-0.04,-0.114,-0.045,0.002,0.037,0.166,0.143,0.148,0.039,0.002,-0.055,-0.062,-0.038,-0.039,-0.037,-0.028
1596,,,0.194,0.002,-0.001,-0.009,-0.006,-0.023,-0.035,-0.02,0.012,0.069,0.109,0.056,0.013,-0.019,-0.056,-0.083,-0.085,-0.038,-0.015,0.035,0.095
1597,,,0.232,-0.026,-0.027,-0.025,-0.003,-0.038,-0.081,-0.035,0.008,0.054,0.151,0.114,0.096,0.026,-0.014,-0.055,-0.061,-0.02,-0.016,-0.017,-0.031
1598,,,0.219,-0.016,-0.022,-0.023,-0.008,-0.038,-0.072,-0.033,0.006,0.062,0.147,0.105,0.077,0.019,-0.019,-0.058,-0.065,-0.033,-0.023,-0.009,0.003
1599,,,0.166,-0.03,-0.02,-0.009,0.021,-0.021,-0.073,-0.025,0.004,-0.003,0.082,0.078,0.093,0.036,0.013,-0.021,-0.028,0.003,-0.002,-0.026,-0.069
1600,,,0.142,0.013,0.014,0.005,0.002,-0.001,0.005,0.007,0.022,0.037,0.024,-0.015,-0.05,-0.041,-0.068,-0.071,-0.056,0.007,0.033,0.063,0.071
1601,,,0.268,-0.046,-0.043,-0.032,0.007,-0.04,-0.097,-0.032,0.014,0.049,0.171,0.141,0.137,0.038,-0.005,-0.066,-0.067,-0.029,-0.022,-0.033,-0.044
1602,,,0.251,-0.026,-0.026,-0.028,-0.002,-0.04,-0.092,-0.041,0.002,0.05,0.159,0.127,0.116,0.038,-0.004,-0.054,-0.063,-0.034,-0.03,-0.026,-0.025
1603,,,0.218,-0.023,-0.022,-0.022,0.001,-0.034,-0.076,-0.034,0.009,0.057,0.142,0.106,0.085,0.02,-0.021,-0.062,-0.067,-0.03,-0.02,-0.009,0.002
1604,,,0.252,-0.024,-0.025,-0.026,-0.003,-0.043,-0.09,-0.032,0.013,0.066,0.162,0.123,0.11,0.022,-0.021,-0.074,-0.082,-0.051,-0.042,-0.014,0.031
